关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,报告技术路线
生物质碳源平台,原料与低碳路线,非粮生物质,原料层,3,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
一碳生物制造,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
C1生物制造,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
一碳生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
二氧化碳生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
二氧化碳生物合成,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
甲醇生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
甲烷生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
合成气生物转化,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
工业尾气发酵,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
气体发酵,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
食气微生物,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
食气梭菌,原料与低碳路线,一碳生物制造,原料层,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,原料与低碳路线
电生物合成,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,,原料与低碳路线
电驱生物合成,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,,原料与低碳路线
电化学-生物耦合,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,,原料与低碳路线
电化学生物耦合,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,,原料与低碳路线
电能驱动生物制造,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,,原料与低碳路线
eBio,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,,原料与低碳路线
电合成生物学,原料与低碳路线,电生物合成,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页48,,原料与低碳路线
人工碳循环,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
生物固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
微生物固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
光合固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
非光合固碳,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
碳固定途径,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
碳捕获生物转化,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
乙酰辅酶A合成途径,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
还原甘氨酸途径,原料与低碳路线,人工碳循环与固碳,原料层,4,contextual,需生物工程与生产制造上下文,SETR/中科院补充,用户提供的两份生物制造相关报告,,原料与低碳路线
无细胞生物制造,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
无细胞蛋白质合成,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
无细胞合成生物学,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
无细胞表达系统,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
无细胞生物合成,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
细胞自由系统,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
CFPS,前沿生物制造,无细胞生物制造,前沿制造,5,frontier,无需上下文,SETR直接词/科研机构补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
分布式生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
按需生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
现场生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
原位生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
便携式生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
本地化生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
去中心化生物制造,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
生物制造网络,前沿生物制造,分布式与按需制造,前沿制造,5,frontier,无需上下文,SETR直接词,SETR 2026标注页42—45、49,,前沿制造与基础支撑
活体生物材料,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工程活体材料,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
活体功能材料,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
活体治疗菌,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工程益生菌,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
工程微生物递送,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
嵌入式生物技术,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
环境响应生物系统,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物传感植物,前沿生物制造,活体与嵌入式生物技术,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
3D生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
三维生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
组织生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
器官生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
细胞打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
生物墨水,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
高密度细胞打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
血管化组织打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
SWIFT生物打印,前沿生物制造,3D生物打印,前沿制造,4,frontier,无需上下文,SETR直接词,SETR 2026标注页47—48,,前沿制造与基础支撑
工程组织制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
组织工程制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
人工组织制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
器官尺度制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
可灌注组织,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
血管化组织,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
植入级组织,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
组织构建体,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
类器官制造,前沿生物制造,组织与器官工程制造,前沿制造,4,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
诱导多能干细胞,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
iPSC,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
干细胞规模化培养,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
干细胞制造,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
细胞规模化制造,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
高密度细胞培养,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
自动化细胞培养,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
细胞聚集体制造,前沿生物制造,干细胞与细胞规模制造,前沿制造,3,contextual,需生物工程与生产制造上下文,SETR直接词/支持扩展,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物基材料,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基聚合物,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基可降解材料,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基聚酰胺,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基聚酯,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
微生物合成材料,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
菌丝材料,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
蛛丝蛋白材料,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
重组蛋白材料,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基纤维,产品与应用,生物基材料,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
聚乳酸,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
PLA,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
聚羟基脂肪酸酯,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
PHA,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
聚己二酸丁二醇酯,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基PEF,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
聚呋喃二甲酸乙二醇酯,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物尼龙,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
聚戊二胺,产品与应用,可降解聚合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基化学品,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
平台化合物生物合成,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物法长链二元酸,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基戊二胺,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基丁二酸,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
"生物基1,3-丙二醇",产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
"生物基1,4-丁二醇",产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基呋喃二甲酸,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基有机酸,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物基芳香族化合物,产品与应用,生物基化学品,应用产品,2,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
戊二酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
丁二酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
琥珀酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
戊二胺,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
"1,4-丁二醇",产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
"1,3-丙二醇",产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
呋喃二甲酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
FDCA,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
长链二元酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
月桂二酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
巴西酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
衣康酸,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
乳酸单体,产品与应用,平台化合物,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
赖氨酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
谷氨酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
苏氨酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
蛋氨酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
甲硫氨酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
丙氨酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
精氨酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
柠檬酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
葡萄糖酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
苹果酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
富马酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
丙酮酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
丙酸,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
氨基酸发酵,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
有机酸发酵,产品与应用,氨基酸与有机酸发酵产品,应用产品,1,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
天然产物生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
萜类生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
黄酮生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物碱生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
甾体生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
青蒿素生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
虾青素生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
麦角硫因生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
依克多因生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
红没药醇生物合成,产品与应用,天然产物与精细化学品,应用产品,3,product,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
青蒿素,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
紫杉醇,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
虾青素,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
麦角硫因,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
依克多因,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
四氢嘧啶,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
红没药醇,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
红景天苷,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
5-羟基色氨酸,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
熊果苷,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
NMN,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
辅酶Q10,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
核苷酸,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
肌醇,产品与应用,高值活性分子,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物制造产品与应用
生物燃料,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
燃料乙醇,产品与应用,生物能源与燃料,应用产品,2,product,需生物工程与生产制造上下文,2024报告直接词,用户提供的两份生物制造相关报告,,生物制造产品与应用
