关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,说明
家庭服务,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
家庭康养,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
接待导览,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
展厅讲解,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
教育陪伴,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
餐饮服务,行业应用,商业与家庭,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
安全应急,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
应急救援,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
安防巡逻,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
灾害搜救,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
危险环境作业,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
防爆作业,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
消防救援,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
野外探索,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
月球探测,行业应用,安全应急与特种,行业应用,2,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
无人配送,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
物流配送,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
农林植保,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
测绘勘探,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
安防监控,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主起降,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
城市空中交通,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
水文监测,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
河道运维,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主靠离泊,行业应用,交通与低空,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
康复训练,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
康复机器人,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
辅助行走,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
肢体运动康复,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
靶向给药,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
细胞操作,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
医疗急救,行业应用,医疗康复,行业应用,1,application,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
